Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KAB MESUJI,-0.73,-0.18,2.72,0.92,-0.85,0.3,0.13,-0.4,-0.42,0.22,0.13,0.87,-
KOTA BANDAR LAMPUNG,-0.8,-0.59,1.54,1.27,-0.51,0.09,0.08,-1.81,0.37,0.22,0.19,0.43,-
KOTA METRO,-0.28,-0.89,1.96,0.66,-0.53,0.04,0.32,-0.66,0.39,0.23,0.19,0.67,-
TANJUNG PANDAN,-1.01,-0.47,0.82,0.95,-0.73,0.09,1.41,-1.11,0.45,0.86,-0.68,0.88,-
KAB BANGKA BARAT,-0.91,-0.22,3.13,0.66,-1.07,-0.75,0.16,0.05,0.72,0.49,0.67,1.1,-
KAB BELITUNG TIMUR,-0.35,0.08,1.04,0.6,-0.81,0.38,1.04,-0.58,-0.2,1.08,0.11,0.3,-
KOTA PANGKAL PINANG,-0.96,0.23,1.78,0.85,-0.86,0.02,0.46,-0.49,0.59,0.08,0.72,0.17,-
KAB KARIMUN,-0.72,-1.3,1.43,1.97,-1.08,-0.71,0.46,1.03,0.99,-0.31,0.07,0.92,-
KOTA BATAM,0.87,0.03,0.11,0.38,-0.38,-0.06,0.15,0.08,0.62,0.43,0.25,1.14,-
KOTA TANJUNG PINANG,-1.57,-0.45,1.4,1.09,-0.42,-0.13,0.19,0.26,0.54,0.35,0.23,1.28,-
DKI JAKARTA,-1.5,-0.29,2,1.44,-0.24,0.13,0.11,-0.05,0.13,0.31,0.27,0.33,-
KAB BANDUNG,-0.99,-0.53,1.7,0.87,-0.37,0.23,0.37,-0.22,0.2,0.39,0.05,0.44,-
KAB MAJALENGKA,-0.33,-0.97,1.1,1.36,-0.06,0.18,0.49,0.01,0.21,0.34,0.22,0.29,-
KAB SUBANG,-0.99,-0.56,1.73,0.74,-0.11,0.24,0.18,-0.24,0.07,0.32,0.05,0.69,-
KOTA BOGOR,-0.54,-0.73,1.54,1.07,-0.25,0.41,0.33,-0.15,0.2,0.42,0.06,0.46,-
KOTA SUKABUMI,-0.6,-0.35,1.61,1.13,-0.16,0.35,0.21,-0.06,0.15,0.38,0.1,0.37,-
KOTA BANDUNG,-0.89,-0.73,1.69,0.97,-0.35,0.27,0.5,-0.14,0.16,0.46,0.24,0.51,-
KOTA CIREBON,-0.77,-0.78,1.94,0.7,-0.11,0.46,0.53,-0.31,0.29,0.32,0.16,0.42,-
KOTA BEKASI,-0.26,-0.47,1.46,1.04,-0.46,0.28,0.11,-0.19,0.23,0.57,0.29,0.39,-
KOTA DEPOK,-0.76,-0.73,1.71,1.2,-0.35,0.24,0.35,-0.29,0.25,0.47,0.05,0.37,-
KOTA TASIKMALAYA,-0.79,-0.32,1.32,0.89,-0.01,0.12,0.25,-0.17,0.32,0.41,0.22,0.4,-
CILACAP,-0.26,-0.74,1.39,1.04,-0.66,0.43,0.36,-0.13,0.34,0.33,0.14,0.53,-
PURWOKERTO,-0.54,-0.52,1.49,1.1,-0.46,0.21,0.08,-0.09,0.29,0.33,0.14,0.58,-
KAB WONOSOBO,-0.39,-0.62,1.69,1.14,-0.83,0.28,0.12,-0.18,0.15,0.44,0.23,0.59,-
KAB WONOGIRI,-0.3,-1.36,1.42,1.5,-0.54,0.42,0.03,-0.12,0.12,0.37,0.19,0.79,-
KAB REMBANG,-0.27,-0.95,1.28,1.63,-0.53,0.1,0.37,-0.2,0.16,0.45,0.2,0.26,-
KUDUS,-0.19,-0.99,1.29,1.63,-0.45,0.14,0.12,-0.12,0.16,0.4,0.2,0.48,-
KOTA SURAKARTA,-0.35,-0.73,1.31,1.19,-0.27,0.21,0.09,-0.13,0.28,0.49,0.22,0.46,-
KOTA SEMARANG,-0.69,-0.64,1.42,1.53,-0.42,0.22,0.23,-0.05,0.18,0.39,0.22,0.42,-
KOTA TEGAL,-0.49,-0.95,1.49,1.56,-0.44,0.03,0.41,-0.02,0.27,0.41,0.14,0.41,-
KAB GUNUNGKIDUL,-0.35,-0.86,1.24,1.79,-0.14,0.19,-0.05,-0.27,0.05,0.28,0.31,0.74,-
KOTA YOGYAKARTA,-0.35,-0.85,1.29,1.52,-0.16,0.28,0.17,-0.21,0.27,0.59,0.23,0.53,-
KAB TULUNGAGUNG,-0.37,-0.72,1.79,1.11,-0.26,0.3,0.11,-0.22,0.3,0.24,0.18,0.56,-
JEMBER,-0.4,-0.76,1.63,0.49,-0.43,0.48,0.34,-0.04,0.27,0.23,0.08,0.86,-
BANYUWANGI,-0.04,-0.24,1.5,0.77,-0.68,0.63,0.29,-0.08,0.22,0.22,0.07,0.71,-
KAB BOJONEGORO,-0.24,-0.84,1.32,1.04,-0.41,0.57,0.18,-0.23,0.38,0.31,0.19,0.69,-
KAB GRESIK,-0.37,-0.8,1.77,0.39,-0.51,0.48,0.3,-0.12,0.07,0.2,0.19,0.85,-
SUMENEP,-0.91,-0.17,1.91,0.72,-0.79,0.62,0.45,-0.11,0.41,0.62,0.17,0.78,-
KOTA KEDIRI,-0.7,-0.98,1.56,1.33,-0.34,0.46,0.13,-0.19,0.32,0.4,0.19,0.76,-
KOTA MALANG,-0.6,-0.69,1.37,1.07,-0.21,0.38,0.12,-0.07,0.39,0.31,0.16,0.56,-
KOTA PROBOLINGGO,-0.41,-0.43,1.53,0.75,-0.35,0.37,0.22,-0.1,0.28,0.43,0.15,0.57,-
KOTA MADIUN,-0.31,-0.78,1.41,0.92,-0.35,0.33,0.27,-0.07,0.03,0.35,0.13,0.81,-
KOTA SURABAYA,-0.72,-0.53,1.3,1.09,-0.22,0.36,0.19,-0.07,0.17,0.35,0.21,0.8,-
KAB PANDEGLANG,-0.37,-1.07,2.25,1.36,-0.38,0.06,0.04,-0.67,0.21,0.41,0.25,1.09,-
KAB LEBAK,-0.63,-0.75,2.12,0.71,-0.6,0.31,0.33,-0.6,0.7,0.35,0.11,0.92,-
KOTA TANGERANG,-1.31,-0.43,1.94,1.34,-0.57,0.18,0.15,-0.21,-0.09,0.69,0.32,0.56,-
KOTA CILEGON,-0.98,-0.9,1.81,1.36,-0.52,0.17,0.52,-0.21,0.15,0.39,0.27,0.59,-
KOTA SERANG,-1.3,-0.85,2.15,1.56,-0.52,0.32,0.24,-0.1,0.11,0.61,0.18,0.48,-
KAB TABANAN,0.48,-1.05,1.52,1.09,-0.82,0.29,0.3,-0.69,-0.45,0.34,0.67,1.02,-
KAB BADUNG,0.47,-0.89,1.45,0.49,-0.95,0.53,0.15,-0.46,-0.5,0.31,0.64,1.12,-
SINGARAJA,-0.53,-0.81,1.71,0.8,-0.28,0.37,0.42,-0.56,-0.06,0.28,0.47,0.69,-
KOTA DENPASAR,-0.27,-0.13,1.69,0.69,-0.16,0.48,0.37,-0.19,0.41,-0.02,0.15,0.38,-
KAB SUMBAWA,-0.17,-0.39,1.84,0.55,-0.72,0.9,-0.03,-0.89,0.11,0.57,0.29,0.7,-
KOTA MATARAM,-0.66,-0.76,2.31,0.7,-0.52,0.43,0.25,-0.1,0.39,0.14,0.32,0.71,-
KOTA BIMA,-1.2,-0.59,1.54,1.1,-0.43,0.42,0.48,-0.17,-0.08,0.47,0.59,0.8,-
WAINGAPU,-0.18,0.82,1.75,-0.08,-0.45,0.7,0.47,-1.28,-1.32,0.79,0.65,1.23,-
KAB TIMOR TENGAH SELATAN,0.8,0.44,0.61,0.6,0.07,-0.95,0.49,-0.98,-0.78,-0.67,0.6,1.56,-
MAUMERE,-1.11,0.32,1.2,-0.74,-0.13,0.99,0.79,0.48,-1.03,-1.29,0.22,0.7,-
KAB NGADA,-1.28,0.57,1.96,0.62,-0.79,0.01,1.11,0.46,-0.42,-0.52,-0.42,0.46,-
KOTA KUPANG,-0.46,0.26,1.34,0.11,-0.55,0.03,1.21,-0.59,-0.12,0.36,0.79,0.54,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-1.23,0.08,1.69,0.77,-0.38,0.1,0.6,-0.28,0.13,0.35,0.1,0.34,-
SINTANG,-1.85,-0.01,2.13,0.53,-0.31,0.21,0.52,0.01,-0.08,0.25,0.2,0.45,-
KAB KAYONG UTARA,-0.73,0.03,1.11,0.79,-0.3,0.17,0.57,0.15,-0.09,0.11,0.29,0.43,-
KOTA PONTIANAK,-1.14,-0.1,0.79,1.24,-0.55,0.49,0.4,-0.39,0.21,0.1,0.29,0.17,-
KOTA SINGKAWANG,-0.93,-0.12,1.48,0.52,-0.26,0.26,0.36,0.05,-0.2,0.04,0.3,0.41,-
SAMPIT,-0.74,-0.63,1.77,0.56,-0.08,0.43,0.54,-0.28,0.47,0.36,-0.22,0.48,-
KAB KAPUAS,0.11,-0.58,1.59,0.62,-1.43,0.46,0.59,-1.16,0.27,0.68,0.49,1.61,-
KAB SUKAMARA,-0.67,-0.01,2.07,0.29,-0.27,0.06,0.39,-0.13,0.14,0.36,-0.11,1.02,-
KOTA PALANGKA RAYA,-0.89,-0.36,1.69,0.67,-0.15,0.19,0.14,-0.08,0.35,0.52,0.27,0.94,-
KAB TANAH LAUT,-0.87,-0.3,2.06,0.24,-0.81,0.25,0.35,-0.15,0.29,-0.19,1.27,0.76,-
KOTABARU,-1.75,-0.54,3.16,0.89,-0.12,0.11,0.44,0.44,-0.26,0.24,-0.06,0.52,-
KAB HULU SUNGAI TENGAH,-0.46,-0.81,2.4,1.06,-1.2,0.38,-0.45,-0.1,0.63,0.5,0.72,1.24,-
TANJUNG,-0.49,-0.17,1.31,1.28,-0.48,0.08,0.08,-0.3,0.32,0.42,0.37,0.71,-
KOTA BANJARMASIN,-0.7,-0.34,1.13,1.35,-0.01,0.23,0.3,-0.23,0.28,0.51,0.67,0.71,-
KAB BERAU,-1.23,-0.21,2.51,0.68,-0.51,-0.18,0.28,0.04,-0.04,0.53,0.74,0.23,-
KAB PENAJAM PASER UTARA,-0.61,-0.45,2.19,1.23,-0.28,-0.22,0.88,-0.78,0.07,-0.48,0.14,0.41,-
KOTA BALIKPAPAN,-0.64,-0.1,1.67,0.69,-0.28,0.82,-0.01,-0.73,-0.06,0.03,0.6,0.71,-
KOTA SAMARINDA,-1.31,-0.36,2.19,1.08,-0.38,0.61,-0.04,-0.19,0.14,-0.09,0.18,0.87,-
TANJUNG SELOR,-1.58,-0.28,2.3,0.19,-0.44,0.06,2.33,0.13,-0.53,-0.02,0.13,0.67,-
KAB NUNUKAN,-0.93,-0.28,2.75,-0.05,-0.01,0.32,-0.02,0.22,-0.36,0.01,-0.13,0.37,-
KOTA TARAKAN,-1.52,-0.08,1.78,0.83,0.24,-0.08,0.41,-0.07,0.35,0.16,0.25,0.6,-
KAB MINAHASA SELATAN,-0.16,-0.48,2.71,1.08,-1.32,0.21,0.59,-2.46,-0.28,0.54,-0.93,1.04,-
KAB MINAHASA UTARA,-0.33,0.41,2.67,0.19,-0.73,0.71,-0.59,-1.86,0.48,-0.46,-0.79,0.74,-
KOTA MANADO,-1.63,-0.86,2.6,1.29,-0.77,0.77,0.27,-0.52,0.03,0.24,-0.11,0.28,-
KOTA KOTAMOBAGU,-0.93,-0.38,2.98,0.81,-0.33,0.45,0.85,-1.16,0.13,-0.16,-0.68,0.55,-
LUWUK,-1.48,0.5,1.69,1.92,0.47,0.02,0.57,0.55,0.32,-0.11,-0.56,0.37,-
KAB MOROWALI,-0.84,0.06,2.66,0.38,0.11,-0.15,1.58,0.06,-0.88,-0.21,-0.59,-0.24,-
KAB TOLI TOLI,-1.22,0.58,3.99,2.27,-0.28,-0.17,1.85,-0.82,-0.14,1.08,-0.46,-0.59,-
KOTA PALU,-1.2,-0.17,2.84,0.88,-0.56,0.17,0.65,0.17,0.1,-0.08,-0.31,0.38,-
BULUKUMBA,-1.06,-0.64,1.84,1.73,-0.01,0.19,0.19,-0.03,-0.04,0.32,-0.05,0.31,-
WATAMPONE,-0.56,-0.98,1.93,1.51,-0.01,-0.05,0.92,-0.22,-0.04,0.19,-0.27,0.4,-
KAB WAJO,-0.64,-0.29,2.15,1.06,-0.32,0.13,0.5,0.09,0.17,0.09,-0.6,0.81,-
KAB SIDENRENG RAPPANG,-0.74,-0.84,2.07,1.77,-0.27,-0.09,0.53,0.4,0.09,0.06,-0.01,0.41,-
KAB LUWU TIMUR,-0.61,-0.86,2.09,1.68,-0.04,-0.13,0.6,0.7,0.02,-0.36,-0.64,0.85,-
KOTA MAKASSAR,-0.72,-1.07,2.19,1.91,-0.41,-0.16,0.59,-0.03,-0.26,0.17,0.06,0.45,-
KOTA PARE-PARE,-0.68,-0.22,2.34,1.74,-0.64,0.6,0.87,-0.05,-0.44,-0.23,-0.11,0.64,-
KOTA PALOPO,-1.38,-0.48,2.48,1.07,-0.1,-0.02,0.94,-0.09,-0.16,-0.09,-0.18,0.36,-
KAB KONAWE,-1.15,0.49,2.88,0.66,-0.06,1.47,1.17,-1.4,-1.18,-1.12,0.16,0.81,-
KAB KOLAKA,-1.33,0.09,2.45,1.95,-0.42,0.05,0.54,0.87,0.13,-0.53,-0.48,0.13,-
KOTA KENDARI,-1.49,0.47,2.21,0.8,-0.12,0.37,1.11,-0.22,-0.19,-0.29,0.06,0.26,-
KOTA BAU-BAU,-1.85,0.21,2.23,0.03,0.14,1.66,1.2,-0.41,0.16,-0.96,0.15,-0.44,-
KAB GORONTALO,-1.88,0.34,3.42,1.17,-2.47,0.45,1.84,-1.19,-0.12,-0.25,0.34,0.99,-
KOTA GORONTALO,-1.34,-0.2,2.22,0.98,-0.7,0.27,0.73,-0.18,-0.12,-0.01,0.13,0.73,-
KAB MAJENE,-0.92,-0.72,1.97,1.47,-0.13,0.57,0.48,-0.19,-0.39,-0.48,-0.25,0.21,-
MAMUJU,-1.33,-0.11,2.64,1.56,-0.36,-0.43,0.58,-0.17,0.28,0.28,-0.23,1.15,-
KAB MALUKU TENGAH,0.46,-1.04,0.97,-1.67,0.63,1.89,1.23,-0.9,0.44,-0.01,-0.2,0.79,-
KOTA AMBON,-0.74,-0.43,2.23,1.14,0.84,0.36,-0.4,0.52,-0.75,-0.05,0.61,0.85,-
KOTA TUAL,-1.47,0.39,1.4,1.31,1.48,1.41,0.59,-1,-0.38,-0.48,0.16,0.51,-
KAB HALMAHERA TENGAH,-1.64,0.22,2.44,0.05,-0.26,-0.05,0.31,-1.75,-0.36,0.42,0.47,0.61,-
KOTA TERNATE,-1.64,-0.19,2.7,1.61,-0.81,0.34,0.41,-1.92,0.04,0.26,1.27,-0.06,-
MANOKWARI,-2.29,-1.41,2.3,0.55,-0.33,0.58,1.24,-0.99,0.97,-0.19,0.65,1.6,-
KAB SORONG,-1.65,-1.08,1.74,1.65,-0.05,0.04,1,0.22,0.16,0.07,-0.54,0.4,-
KAB SORONG SELATAN,-1.52,-0.01,1.86,0.16,0.3,0.18,0.54,-0.22,0.08,-0.16,0.05,0.52,-
KOTA SORONG,-1.25,-1.02,0.83,0.74,0.05,0.56,0.65,1.19,-0.21,-0.12,0.15,0.72,-
KOTA JAYAPURA,-1.13,-0.52,1.13,0.69,0.29,0.09,-0.34,-0.93,0.04,-0.24,1.69,1.77,-
MERAUKE,-0.75,-0.06,2.2,1.2,0.64,-0.33,1.44,-1.33,-1.08,0.02,0.22,0.81,-
TIMIKA,-1.59,-0.01,2.67,0.96,-0.28,-0.01,0.23,-1.12,0.04,0.27,0.38,0.54,-
KAB NABIRE,-2.15,-0.29,2.45,1.73,0.59,-0.3,1.57,-1.5,-0.14,0.44,1.58,1.79,-
KAB JAYAWIJAYA,0.23,2.78,0.08,-0.9,0.91,-1.5,1.65,-0.44,-0.75,-0.92,0.56,1.58,-
INDONESIA,-0.76,-0.48,1.65,1.17,-0.37,0.19,0.3,-0.08,0.21,0.28,0.17,0.64,-
