Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA SURABAYA,0.45,0.04,0.7,0.96,0.49,0.46,0.58,0.26,1.52,0.07,0.3,0.58,6.59
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.46,0.11,1,0.97,0.05,0.59,0.21,-0.11,1.06,-0.13,-0.15,0.43,4.56
KOTA CILEGON,1,-0.34,1.14,1.16,0.26,0.89,0.44,-0.45,1.4,-0.26,-0.1,0.6,5.86
KOTA SERANG,0.97,0.28,1.12,0.79,0.84,0.77,0.5,-0.16,1.23,0.05,0.21,0.42,7.22
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,0.63,-0.84,1.27,0.89,0.58,2.2,0.48,-1.48,0.35,-0.16,0.07,0.59,4.63
KOTA DENPASAR,1.09,-0.36,0.85,1.02,0.73,0.72,0.96,-0.04,0.56,-0.04,0.31,0.46,6.44
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,0.66,-0.02,1.08,1.1,0.7,0.86,1.22,-0.71,0.97,-0.12,0.09,0.21,6.18
KOTA BIMA,0.85,-0.25,0.59,1.37,0.48,1.11,1.32,-1.08,1.12,0.2,0.1,0.42,6.39
WAINGAPU,0.92,0.47,0.19,1.05,0.28,0.2,0.48,-1.47,1.18,-0.34,-0.57,1.14,3.54
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,1.31,-0.53,0.59,0.54,0.87,0.83,1.51,-1,0.57,-0.08,0.43,1.08,6.25
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.99,0.65,0.09,1.46,0.15,0.51,1.07,-0.86,1.82,0.37,-0.12,0.74,7.07
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,0.86,0.32,0.88,1.58,1.07,0.49,0.21,-0.96,1.37,0.01,0.1,0.4,6.5
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.87,0.28,0.43,1.05,0.71,0.07,0.05,0.16,1.58,0.07,0.34,0.57,6.35
KOTA SINGKAWANG,0.66,0.15,0.2,1.3,1.04,-0.09,0.38,-0.55,1.66,0.13,0.44,0.5,5.96
SAMPIT,0.58,-0.03,0.97,0.97,0.94,0.89,0.24,-0.5,1.43,-0.01,0.08,0.28,5.99
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.62,-0.01,0.69,0.97,0.93,0.87,0.56,0.28,1.05,-0.07,0.21,0.22,6.51
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,0.92,-0.04,1.06,0.9,1.23,1.32,1.07,0.13,0.73,0.04,0.39,0.58,8.65
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.43,0.24,0.64,0.68,1.17,0.85,0.04,-0.87,0.66,0.24,0.36,0.48,5.01
KOTA BANJARMASIN,1.04,-0.49,0.94,1.22,0.53,0.71,0.31,-0.44,1.56,0.28,0.41,0.72,6.98
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,0.81,-0.51,1.09,1.33,0.52,0.53,0.73,-0.33,0.88,0.09,0.04,0.2,5.51
KOTA SAMARINDA,0.91,-0.2,0.4,1.05,0.64,0.42,0.52,-0.2,0.83,0.22,0.25,0.26,5.22
TANJUNG SELOR,1.35,0.01,1.5,0.6,0.77,1.78,0.34,-0.71,1.32,0.32,0.26,0.19,7.98
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.25,-0.01,0.52,0.73,0.76,0.22,0.5,-0.54,0.97,-0.16,0.05,0.59,3.93
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,0.17,-0.81,0.4,1.55,0.18,0.85,0.72,-0.37,1.03,-0.12,-0.31,0.66,4
KOTA KOTAMOBAGU,-0.66,0.16,0.87,1.43,-0.21,1.47,0.68,-0.55,1.23,-0.21,0.31,1.38,6.03
LUWUK,0.62,-0.04,0.92,1.31,0.88,1.01,0.86,0.54,0.37,-0.47,-0.39,0.82,6.62
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,1.11,-0.52,1.11,1.42,-0.19,0.29,1.19,0.25,0.52,-0.2,-0.1,0.8,5.81
BULUKUMBA,0.51,-0.26,1.12,0.62,0.19,0.46,0.56,-0.6,1.11,-0.26,0.12,0.49,4.12
WATAMPONE,0.41,0.15,1.11,1.21,0.79,1.06,0.52,-0.69,0.92,-0.58,-0.09,0.6,5.52
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.56,-0.06,0.49,1.27,0.13,0.29,1.25,-0.29,1.09,-0.11,0.31,0.74,5.81
KOTA PARE-PARE,1.18,-0.02,0.55,0.71,1.88,0.11,0.56,-0.11,1.17,-0.48,0.22,0.72,6.66
KOTA PALOPO,0.36,-0.03,0.45,1.16,0.41,0.4,0.6,0.26,1.74,-0.49,-0.19,0.36,5.13
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.29,-0.09,-0.07,1.8,1.39,-0.61,2.27,0.36,0.43,0.27,0.36,0.52,7.11
KOTA BAU-BAU,1.14,0.15,0.95,1.12,0.65,0.97,1.43,-0.71,0.47,0.1,0.29,1.5,8.35
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,-0.22,-0.37,1.25,1.22,0.37,1.65,0.57,-0.53,0.49,0.01,-0.05,0.68,5.15
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,1.21,-0.12,0.68,0.71,0.69,0.69,0.88,-0.54,1.08,-1.44,0.42,0.52,4.85
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,0.34,-0.44,0.48,0.72,0.69,0.08,1.67,0.82,0.3,-0.12,1.15,0.55,6.39
KOTA TUAL,0.2,-1.12,-0.27,1.74,1.22,0.65,1.66,-0.91,1.02,-1.35,0.84,0.81,4.52
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,-0.22,-1.11,0.34,0.82,0.27,0.33,1.82,-0.24,0.51,-0.49,0.19,1.14,3.37
MANOKWARI,0.02,-1.43,1.34,1.07,1.54,0.71,0.57,-0.79,-0.64,0.76,0.94,1.85,6.06
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.99,-1.3,0.22,1.02,0.61,0.39,1.26,-0.82,1.49,-0.9,0.3,0.01,3.26
KOTA JAYAPURA,-0.04,-0.78,0.9,2.38,0.96,0.89,0.53,-0.27,0.79,-0.3,-0.29,0.95,5.81
MERAUKE,0.88,0.35,1.86,0.74,-0.02,-0.19,0.58,-0.85,0.07,0.12,-0.05,1.33,4.9
TIMIKA,-0.42,-0.24,0.63,0.92,0.59,1.04,1.61,0.48,-0.59,0.73,0.34,0.7,5.93
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.56,-0.02,0.66,0.95,0.4,0.61,0.64,-0.21,1.17,-0.11,0.09,0.66,5.51
