Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
TEMBILAHAN,0.41,0.31,-0.04,0.43,0.62,1.13,-0.75,-0.01,-0.22,0.52,0.5,0.34,3.3
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.4,0.37,0.01,-0.34,0.44,0.06,-0.2,0.08,0.01,0.59,0.31,0.51,2.24
KOTA DUMAI,0.54,0.21,-0.05,-0.19,0.95,0.11,-0.26,-0.05,-0.02,0.44,0.37,0.8,2.88
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,0.74,0.36,-0.56,-0.29,0.49,0.24,-0.34,0.06,0.02,0.59,0.44,0.56,2.32
KOTA JAMBI,0.81,0.75,-0.65,-0.66,0.29,0.35,-0.05,0.03,0.13,0.77,0.57,0.72,3.09
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.62,0.26,0.04,-0.12,0.13,0.19,-0.28,-0.35,-0.05,0.16,0.31,0.58,1.5
KOTA LUBUKLINGGAU,0.36,0.39,0.07,-0.43,0.4,0.31,-0.18,-0.11,0.04,0.38,0.35,0.39,1.97
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.14,0.09,-0.02,-0.35,0.41,0.04,-0.23,0.22,0.08,0.02,0.35,0.14,0.89
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.86,0.44,-0.44,-0.16,-0.29,0.03,0.33,0.41,-0.26,0.23,0.09,0.67,1.93
KOTA METRO,1.15,0.19,0.27,-0.23,-0.35,0.26,0.11,0.06,0.1,0.05,0.4,0.51,2.53
TANJUNG PANDAN,0.46,-1.2,-0.13,-0.19,1.2,0.27,0.26,-0.67,0.2,0.45,-0.03,1.49,2.11
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,1.09,-0.68,-0.07,-0.92,0.51,0.2,0.06,-0.61,0.05,-0.32,0.51,0.71,0.52
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.16,-0.15,-0.39,0.07,0.16,0.06,-0.17,0.02,-0.12,0.13,0.32,1.05,1.12
KOTA TANJUNG PINANG,0.36,-0.19,-0.4,-0.23,0.01,0.09,0.34,0.12,-0.32,0.37,0.53,0.98,1.66
DKI JAKARTA,0.25,0.27,0.33,0.29,-0.02,0.06,-0.05,-0.1,0.02,0.01,0.27,0.26,1.59
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.78,0.25,0.04,-0.02,0.01,0.27,-0.01,-0.16,0.11,0.13,0.32,0.44,2.18
KOTA SUKABUMI,0.42,0.26,0.3,0.07,0.03,0.16,-0.06,-0.22,-0.08,0.02,0.35,0.58,1.84
KOTA BANDUNG,0.38,0.35,0.25,0.16,-0.25,0.41,-0.14,-0.1,-0.05,0.08,0.26,0.39,1.75
KOTA CIREBON,0.1,0.17,0.29,0.02,-0.09,0.45,-0.12,-0.23,-0.25,0.01,0.33,0.49,1.16
KOTA BEKASI,0.38,0.38,0.39,0.25,-0.08,0.48,-0.01,-0.01,-0.03,0.01,0.28,0.73,2.81
KOTA DEPOK,0.61,0.25,0.36,0.02,-0.17,0.1,-0.16,-0.08,0.02,0.14,0.32,0.36,1.78
KOTA TASIKMALAYA,0.17,0.32,0.31,0.13,0.03,0.15,0.13,-0.27,-0.03,0.14,0.27,0.26,1.61
CILACAP,-0.03,0.49,0.06,0.05,0.29,0.28,-0.17,-0.09,-0.03,0.12,0.39,0.35,1.71
PURWOKERTO,0.32,0.58,0.05,-0.08,0.19,0.4,-0.2,-0.12,-0.04,0.07,0.39,0.33,1.9
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-0.01,0.39,0.04,-0.08,0.1,0.09,-0.09,0.05,-0.08,0.16,0.24,0.42,1.24
KOTA SURAKARTA,0.14,0.41,0.01,-0.03,-0.2,0.29,-0.03,0.12,0.09,0.1,0.17,0.32,1.38
KOTA SEMARANG,0.06,0.43,0.02,-0.02,0.1,0.16,-0.1,-0.06,0.07,0.2,0.13,0.49,1.49
KOTA TEGAL,0.34,0.38,-0.02,0.26,-0.1,0.42,-0.05,0.09,-0.06,0.22,0.28,0.56,2.36
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.27,0.4,0.07,-0.24,0.22,0.08,-0.08,-0.04,0.03,0.08,0.13,0.48,1.4
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,0.38,0.51,0.34,-0.13,-0.03,0.3,0.01,-0.11,-0.01,0.01,0.44,0.36,2.08
BANYUWANGI,0.51,0.1,0.27,0.24,0.02,0.06,0.01,-0.01,-0.17,0.07,0.2,0.43,1.74
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.84,0.16,0.09,0.15,0.02,-0.15,-0.12,0.03,-0.12,-0.07,0.82,0.71,2.37
KOTA KEDIRI,0.52,0.38,0.11,0.08,-0.19,0.25,-0.06,0.02,0.15,-0.05,0.44,0.28,1.93
KOTA MALANG,0.41,0.28,-0.41,-0.12,0.27,0.44,0.06,-0.06,-0.05,-0.06,0.31,0.34,1.42
KOTA PROBOLINGGO,0.4,0.39,0.04,0.05,0.05,0.15,0.16,-0.07,-0.35,0.15,0.41,0.47,1.88
KOTA MADIUN,0.35,0.38,0.19,-0.19,0.01,0.2,-0.04,-0.02,-0.02,0.11,0.41,0.47,1.86
KOTA SURABAYA,0.52,0.32,0.01,-0.16,0.21,0.28,-0.41,0.07,-0.18,-0.02,0.2,0.5,1.33
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.36,0.21,-0.01,0.26,0.04,0.14,-0.06,-0.1,-0.07,0.1,0.13,0.17,1.18
KOTA CILEGON,0.59,0.46,0.11,0.2,0.26,0.22,-0.18,-0.02,0.1,0.24,0.23,0.38,2.62
KOTA SERANG,0.63,0.17,0.22,0.23,0.05,0.18,0.07,-0.05,-0.05,0.03,0.15,0.26,1.91
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,0.67,0.7,0.15,-0.36,-0.22,0.32,0.11,-0.42,0.27,-0.21,0.37,1.08,2.48
KOTA DENPASAR,0.55,0.39,0.11,-0.32,-0.1,0.08,-0.46,-0.12,-0.16,-0.25,0.2,0.62,0.55
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,0.57,-0.05,-0.3,-0.33,-0.15,0.15,0.09,-0.03,-0.04,0.19,0.04,0.45,0.58
KOTA BIMA,0.49,-0.08,0.09,-0.08,-0.34,-0.22,0.43,-0.12,-0.02,0.14,0.01,0.34,0.64
WAINGAPU,0.98,-0.04,0.39,-0.8,0.06,-0.3,-0.49,-0.48,0.22,0.18,0.92,0.88,1.51
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,0.64,-0.25,-0.89,-0.06,-0.05,0.55,0.08,0.71,-0.35,0.87,0.29,0.7,2.24
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.47,0.49,-0.66,0.19,0.15,-0.07,-0.36,-0.92,-0.18,0.19,0.22,0.77,0.29
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,1.1,1.21,-0.15,-0.21,0.62,0.65,-0.43,-0.58,0.2,0.26,0.96,0.98,4.68
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.73,0.63,-0.13,-0.08,0.48,0.33,-0.37,-0.15,0.01,-0.04,0.39,0.28,2.11
KOTA SINGKAWANG,0.68,0.6,-0.18,-0.15,0.36,0.55,-0.45,-0.28,-0.01,0.35,0.59,0.63,2.72
SAMPIT,0.27,0.55,-0.26,-0.33,0.37,0.64,0.28,-0.43,-0.2,0.04,0.52,0.17,1.62
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,-0.06,0.63,-0.2,-0.1,0.23,0.33,-0.22,-0.55,-0.36,0.02,0.53,0.47,0.71
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,0.68,0.3,-0.14,-0.49,0.28,0.12,-0.37,0.23,-0.12,0.22,0.1,0.63,1.44
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.43,0.91,-0.11,-0.28,0.1,0.42,-0.08,-0.43,-0.3,0.27,0.71,0.42,2.05
KOTA BANJARMASIN,0.25,-0.02,-0.3,-0.28,0.11,0.39,-0.28,0.31,-0.32,0.22,0.75,0.83,1.67
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,0.27,0.44,-0.15,0.02,0.31,0.28,-0.3,-0.21,-0.46,-0.17,0.39,0.25,0.65
KOTA SAMARINDA,0.36,0.37,-0.15,-0.28,0.14,0.17,0.36,-0.16,-0.34,-0.21,0.36,0.24,0.86
TANJUNG SELOR,0.35,1.04,-0.45,-0.17,0.56,0.45,-0.28,-0.53,0.19,0.07,0.68,0.05,1.96
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,-0.07,-0.25,-0.46,0.2,-0.27,0.99,0.24,0.35,0.63,-0.28,-0.05,0.13,1.15
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,-0.09,-0.04,-0.9,-0.21,-0.01,0.19,-0.3,0.71,-0.36,0.1,0.27,0.47,-0.18
KOTA KOTAMOBAGU,0.75,0.37,0.25,0.51,-0.27,1.23,-0.09,0.02,-0.33,-0.18,0.65,0.71,3.67
LUWUK,0.19,0.06,-0.59,0.54,-0.39,0.77,-0.01,0.35,0.18,-0.32,0.32,-0.26,0.83
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,-0.25,0.54,-0.35,0.17,0.15,0.34,0.16,0.07,-0.1,0.41,0.04,0.63,1.81
BULUKUMBA,0.22,0.61,0.15,0.37,0.28,0.03,-0.01,-0.04,0.05,0.08,0.09,0.44,2.3
WATAMPONE,0.45,0.23,0.02,0.21,0.21,0.14,0.35,-0.19,-0.31,0.4,0.15,0.21,1.89
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.66,0.5,-0.11,0.48,0.55,0.01,-0.54,-0.09,0.05,-0.13,0.17,0.57,2.13
KOTA PARE-PARE,0.96,0.02,-0.1,-0.14,0.15,0.65,0.18,-0.24,0.18,-0.11,-0.02,0.07,1.61
KOTA PALOPO,0.13,0.04,-0.09,0.34,0.49,0.07,0.15,-0.11,-0.17,0.1,-0.01,0.27,1.21
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,-0.27,-0.47,0.06,-0.05,0.31,1.33,0.25,0.21,0.26,-0.48,-0.22,0.45,1.37
KOTA BAU-BAU,-1.39,0.11,0.06,0.88,0.09,-0.06,0.73,0.39,-0.4,-0.68,0.4,1.15,1.25
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,0.03,0.32,-0.13,-0.08,-0.33,0.37,0.08,0.03,-0.06,0.13,0.24,0.21,0.81
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,-0.04,0.81,0.62,0.25,0.07,0.56,-0.16,-0.06,-0.34,-0.33,0.08,0.3,1.78
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,0.65,0.21,-0.71,-0.11,0.21,0.43,0.06,0.43,-0.21,-0.59,-0.18,-0.07,0.09
KOTA TUAL,0.68,-0.29,-0.55,0.31,0.65,1.07,-0.34,-0.57,0.21,-0.09,1.15,-0.16,2.06
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,0.34,1,-0.48,0.12,0.89,-0.34,-0.95,0.53,-0.74,0.28,0.78,0.7,2.13
MANOKWARI,-0.77,1.07,-1.3,0.15,0.16,0.48,-1.09,0.49,-0.63,-1.81,1.11,1.3,-0.89
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,-0.35,0.1,-0.09,0.26,-0.06,0.46,0.6,-0.33,-0.42,-0.61,0.7,0.9,1.17
KOTA JAYAPURA,0.17,0.4,-0.29,0.3,-0.07,0.15,0.62,-0.32,-0.09,-1.3,0.17,1.02,0.75
MERAUKE,0.42,0.93,-1.53,0.56,0.7,0.2,-0.48,-0.64,0.21,-0.61,0.66,0.66,1.06
TIMIKA,1,0.81,-1.91,0.72,0.9,0.92,1.45,0.41,-0.83,0.24,0.03,0.35,4.12
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.39,0.28,0.1,0.08,0.07,0.18,-0.1,-0.05,-0.05,0.07,0.28,0.45,1.68
