Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA BATAM,-0.26,0.5,-0.32,0.47,-0.25,0.52,0.27,0.17,0.12,0.37,0.76,0.48,2.85
KOTA TANJUNG PINANG,-0.11,0.32,-0.04,0.22,-0.27,0.29,0.35,0.02,0.42,0.07,0.69,0.17,2.14
DKI JAKARTA,0.09,0.19,0.36,0.4,-0.1,0.01,0.19,0.01,0.19,0.13,0.3,0.5,2.28
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.61,0.36,0.15,0.32,0.22,0.18,0.24,-0.08,0.16,0.12,0.81,0.22,3.36
KOTA SUKABUMI,0.38,0.31,0.15,0.48,0.19,0.16,0.24,-0.02,0.23,0.05,0.33,0.19,2.72
KOTA BANDUNG,0.38,0.26,-1.5,0.32,0.1,0.14,0.23,-0.02,0.11,0.08,0.22,0.32,0.63
KOTA CIREBON,1.17,0.36,0.17,0.37,0.15,0.2,0.22,-0.11,0.18,0.04,0.16,0.29,3.22
KOTA BEKASI,0.41,0.39,0.13,0.56,0.08,0.22,0.21,-0.08,0.08,0.14,0.41,0.54,3.14
KOTA DEPOK,0.54,0.37,0.16,0.23,0.11,0.07,0.21,-0.03,0.09,0.15,0.26,0.27,2.49
KOTA TASIKMALAYA,0.41,0.41,0.07,0.63,0.27,0.04,0.13,-0.04,0.34,0.01,0.26,0.27,2.84
CILACAP,0.45,0.27,0.19,0.28,0.22,0.05,0.02,0.04,0.41,0.12,0.42,0.18,2.69
PURWOKERTO,0.37,0.31,0.1,0.27,0.22,0.02,0.15,0.01,0.39,0.21,0.38,0.17,2.61
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,0.27,0.35,0.25,0.34,0.21,0.01,0.17,0.02,0.39,0.27,0.49,0.15,2.96
KOTA SURAKARTA,0.32,0.48,0.24,0.27,0.19,0.09,0.31,0.03,0.42,0.16,0.42,0.22,3.2
KOTA SEMARANG,0.3,0.21,0.2,0.27,0.22,0.02,0.23,0.02,0.42,0.17,0.52,0.22,2.84
KOTA TEGAL,0.44,0.62,-0.03,0.33,0.32,0.04,0.08,0.06,0.41,0.26,0.49,0.22,3.28
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.17,0.27,0.6,0.22,0.35,0.02,0.28,-0.04,0.29,0.25,0.35,0.35,3.17
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,0.16,0.18,0.39,0.21,0.24,0.14,0.11,0.03,0.2,0.1,0.28,0.22,2.29
BANYUWANGI,0.27,0.29,0.28,0.18,0.22,0.09,0.04,0.04,0.05,0.04,0.42,0.19,2.15
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.63,-0.02,0.67,0.45,0.66,-0.42,-0.08,0.16,0.72,0.63,0.87,0.71,5.08
KOTA KEDIRI,0.26,0.16,0.25,0.13,0.32,0.17,0.16,0.03,0.37,0.2,0.38,0.17,2.64
KOTA MALANG,0.15,0.09,0.42,0.24,0.25,0.07,0.19,0.07,0.18,0.26,0.4,0.22,2.56
KOTA PROBOLINGGO,0.22,-0.04,0.42,0.45,0.26,0.18,0.09,0.08,0.28,0.22,0.44,0.22,2.86
KOTA MADIUN,0.35,0.04,0.25,0.22,0.07,0.08,0.1,0.02,0.29,0.22,0.48,0.23,2.35
KOTA SURABAYA,0.42,0.1,0.39,0.34,0.14,0.12,0.15,0.14,0.36,0.27,0.26,0.31,3.03
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.44,0.2,0.14,0.68,0.01,0.17,0.05,-0.12,0.24,0.21,0.6,0.51,3.17
KOTA CILEGON,0.88,0.15,0.32,0.2,0.25,0.07,0.19,-0.14,0.29,0.12,0.63,0.5,3.5
KOTA SERANG,0.33,0.42,-0.14,0.35,0.35,0.11,0.04,-0.13,0.06,0.06,0.34,0.3,2.11
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,0.95,0.29,0.42,-0.22,0.37,0.22,0.25,0.27,-0.05,0.44,0.87,0.43,4.31
KOTA DENPASAR,0.62,0.04,0.03,0.06,0.34,-0.08,0.36,0.21,-0.03,0.15,0.33,0.49,2.54
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,0.44,0.31,-0.03,0.44,0.2,-0.02,0.21,0.01,0.42,0.42,0.3,0.29,3.04
KOTA BIMA,-0.09,0.59,-0.13,0.18,-0.03,0.18,0.43,0.17,0.63,-0.11,0.51,0.56,2.91
WAINGAPU,1.16,0.27,1,0.76,-0.03,1.05,0.35,-1.2,-0.36,0.3,-0.37,0.31,3.27
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,0.92,-0.51,1.09,0.04,-0.05,-0.35,0.65,0.37,0.16,0.18,0.18,0.61,3.33
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,1,-0.77,1.3,-0.16,-0.79,1.02,0.35,-0.98,-0.08,0.47,0.48,0.37,2.21
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,0.2,-0.07,0.13,0.36,0.34,0.42,0.02,-0.35,0.29,0.05,0.13,0.49,2.02
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.24,0.05,0.04,0.49,0.37,0.22,0.1,-0.4,0.1,0.16,0.03,0.66,2.09
KOTA SINGKAWANG,0.45,-0.19,0.23,0.55,0.3,0.41,-0.07,0.09,-0.17,-0.02,-0.01,0.17,1.74
SAMPIT,0.11,0.1,0.48,0.08,0.37,0.26,0.26,-0.16,0.11,0.48,0.17,0.27,2.56
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.13,0.11,0.51,0.32,0.24,0.27,-0.01,-0.24,0.11,0.63,0.26,0.31,2.68
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,0.12,0.06,0.61,0.29,0.56,0.36,0.16,0.09,0.34,0.49,0.13,0.54,3.81
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.21,0.2,0.93,0.34,0.15,-0.38,-0.06,-0.39,0.03,0.6,0.3,0.44,2.39
KOTA BANJARMASIN,0.15,0.2,0.77,0.07,-0.14,0.41,-0.01,0.02,-0.24,0.09,0.81,0.12,2.28
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,0.41,0.31,0.67,0.4,0.33,0.08,0.53,-0.16,0.02,0.13,0.44,0.39,3.6
KOTA SAMARINDA,0.44,-0.04,0.52,0.45,0.11,0.25,0.34,0.1,0.19,0.24,0.3,0.41,3.37
TANJUNG SELOR,-0.04,0.25,0.2,0.5,0.03,0.03,0.34,0.04,-0.44,0.46,0.37,0.62,2.38
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.32,0.09,0.27,0.58,-0.2,0.46,0.36,-0.13,0.03,-0.13,0.32,0.47,2.46
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,0.36,-0.21,0.75,0.25,-0.22,0.11,-0.03,-0.23,0.14,0.94,0.29,0.68,2.87
KOTA KOTAMOBAGU,0.65,0.06,0.53,-0.01,0.28,-0.08,0.19,0.04,-0.39,0.59,0.56,0.94,3.4
LUWUK,0.74,-0.05,0.88,0.31,0.48,0.72,0.73,0.36,0.16,-0.58,-0.07,0.59,4.35
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.53,-0.17,0.51,0.04,0.03,0.18,0.11,0.13,0.11,0.09,0.18,0.13,1.87
BULUKUMBA,0.52,0.12,0.39,0.19,0.3,0.02,0.01,-0.04,0.28,0.2,0.26,0.52,2.78
WATAMPONE,0.55,-0.05,0.55,0.25,0.28,-0.1,0.05,-0.1,0.25,0.23,0.26,0.65,2.84
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.67,-0.25,0.75,0.2,0.03,0.22,0.08,-0.08,-0.09,0.4,0.16,0.77,2.89
KOTA PARE-PARE,0.38,-0.27,0.88,0.2,0.26,-0.03,-0.08,-0.13,0.16,0.31,0.08,0.42,2.22
KOTA PALOPO,0.5,0.06,0.86,0.31,0.3,-0.23,0.12,-0.23,-0.15,0.15,0.01,0.5,2.21
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,-0.23,-0.48,0.67,0.46,0.71,0.36,0.23,0.02,0.38,-0.01,0.17,0.31,2.61
KOTA BAU-BAU,-0.44,0.05,0.06,0.27,0.84,-0.13,0.61,0.41,0.28,-0.27,-0.24,1.01,2.48
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,0.29,-0.3,0.2,0.02,0.08,0.59,0.25,-0.25,-0.35,1,0.98,1.32,3.88
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,0.63,0.16,0.05,-0.18,0.01,0.7,-0.04,0.3,0.08,0.25,-0.28,0.14,1.82
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,-0.21,-0.61,0.16,0.29,0.86,1.1,-0.06,-0.35,0.25,0.39,0.56,0.37,2.77
KOTA TUAL,0.53,0.64,0.44,0.47,0.69,0.62,-0.5,0.4,0.61,-1.08,-0.51,0.98,3.32
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,0.1,1.85,-1.26,1.32,0.34,0.01,0.3,0.26,-0.42,0.43,-0.2,1.64,4.41
MANOKWARI,0.03,-0.73,-0.64,1.39,0.45,0.85,1.43,0.55,-1.7,0.06,-0.41,1.13,2.39
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.96,-0.24,0.92,0.01,0.59,0.73,0.18,-0.24,-0.32,0.74,-0.49,0.23,3.09
KOTA JAYAPURA,-0.55,-0.84,0.12,1.44,-0.05,1.36,-0.16,-0.14,-0.22,-0.15,0.1,0.78,1.65
MERAUKE,0.41,0.1,0.9,1.05,1.03,1.09,-0.08,-0.19,-1.05,0.28,0.3,0.78,4.67
TIMIKA,-0.6,-0.59,0.64,1.4,0.75,0.76,0.83,0.48,-0.99,-0.39,0.84,0.36,3.51
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.34,0.16,0.18,0.33,0.09,0.14,0.21,-0.02,0.19,0.17,0.38,0.41,2.61
