Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
BUNGO,-0.17,0.93,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,-0.25,0.38,-,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,0.08,0.6,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,0.06,0.64,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.05,0.58,-,-,-,-,-,-,-,-,-,-,-
KOTA LUBUKLINGGAU,0.03,0.41,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-0.87,0.85,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,-0.72,0.6,-,-,-,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,-0.4,0.15,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-0.51,0.33,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.18,0.44,-,-,-,-,-,-,-,-,-,-,-
KOTA METRO,-0.34,0.48,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,0.81,-1.56,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,0.36,-0.77,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,0.03,-0.01,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,0.11,-0.44,-,-,-,-,-,-,-,-,-,-,-
KAB KARIMUN,-0.67,0.01,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,-0.04,0.4,-,-,-,-,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,-0.06,0.99,-,-,-,-,-,-,-,-,-,-,-
DKI JAKARTA,-0.23,0.63,-,-,-,-,-,-,-,-,-,-,-
KAB BANDUNG,-0.15,0.96,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-0.11,0.85,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-0.21,0.88,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,-0.21,0.91,-,-,-,-,-,-,-,-,-,-,-
KOTA SUKABUMI,-0.03,0.75,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDUNG,-0.09,0.65,-,-,-,-,-,-,-,-,-,-,-
KOTA CIREBON,-0.44,0.8,-,-,-,-,-,-,-,-,-,-,-
KOTA BEKASI,0.07,0.83,-,-,-,-,-,-,-,-,-,-,-
KOTA DEPOK,-0.16,0.65,-,-,-,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,-0.05,0.97,-,-,-,-,-,-,-,-,-,-,-
CILACAP,-0.42,0.8,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,-0.36,0.78,-,-,-,-,-,-,-,-,-,-,-
KAB WONOSOBO,-0.51,0.76,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-0.52,0.79,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-0.29,0.83,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-0.26,0.74,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,-0.38,0.9,-,-,-,-,-,-,-,-,-,-,-
KOTA SEMARANG,-0.25,0.67,-,-,-,-,-,-,-,-,-,-,-
KOTA TEGAL,-0.24,0.86,-,-,-,-,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,-0.17,0.66,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,-0.14,0.72,-,-,-,-,-,-,-,-,-,-,-
KAB TULUNGAGUNG,-0.18,1.03,-,-,-,-,-,-,-,-,-,-,-
JEMBER,-0.29,1.14,-,-,-,-,-,-,-,-,-,-,-
BANYUWANGI,-0.21,0.94,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-0.33,0.91,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-0.45,0.76,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.34,1.08,-,-,-,-,-,-,-,-,-,-,-
KOTA KEDIRI,-0.37,0.87,-,-,-,-,-,-,-,-,-,-,-
KOTA MALANG,-0.1,0.74,-,-,-,-,-,-,-,-,-,-,-
KOTA PROBOLINGGO,-0.03,1.12,-,-,-,-,-,-,-,-,-,-,-
KOTA MADIUN,-0.23,0.74,-,-,-,-,-,-,-,-,-,-,-
KOTA SURABAYA,-0.16,0.99,-,-,-,-,-,-,-,-,-,-,-
KAB PANDEGLANG,-0.5,1.64,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-0.34,1.52,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,-0.38,0.64,-,-,-,-,-,-,-,-,-,-,-
KOTA CILEGON,-0.12,0.85,-,-,-,-,-,-,-,-,-,-,-
KOTA SERANG,-0.16,0.73,-,-,-,-,-,-,-,-,-,-,-
KAB TABANAN,-0.21,0.48,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-0.78,1.04,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-0.44,0.77,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,-0.13,0.57,-,-,-,-,-,-,-,-,-,-,-
KAB SUMBAWA,0.8,0.67,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,-0.21,0.96,-,-,-,-,-,-,-,-,-,-,-
KOTA BIMA,0.61,0.91,-,-,-,-,-,-,-,-,-,-,-
WAINGAPU,1.45,0.69,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,1.4,0.03,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,1.69,0.16,-,-,-,-,-,-,-,-,-,-,-
KAB NGADA,0.68,0.04,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.14,0.71,-,-,-,-,-,-,-,-,-,-,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,0.61,0.45,-,-,-,-,-,-,-,-,-,-,-
SINTANG,0.55,0.56,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,0.18,0.36,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.07,0.57,-,-,-,-,-,-,-,-,-,-,-
KOTA SINGKAWANG,0.11,0.53,-,-,-,-,-,-,-,-,-,-,-
SAMPIT,0.41,0.61,-,-,-,-,-,-,-,-,-,-,-
KAB KAPUAS,0.47,0.67,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,0.03,0.76,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.36,0.17,-,-,-,-,-,-,-,-,-,-,-
KAB TANAH LAUT,-0.03,1.09,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,0.36,0.6,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,0.48,0.82,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.81,1.34,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,0.13,0.76,-,-,-,-,-,-,-,-,-,-,-
KAB BERAU,-0.32,0.15,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,0.05,0.89,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,-0.11,0.75,-,-,-,-,-,-,-,-,-,-,-
KOTA SAMARINDA,0.26,0.56,-,-,-,-,-,-,-,-,-,-,-
TANJUNG SELOR,-0.43,0.56,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,0.81,0.24,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,-0.15,0.58,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA SELATAN,0.37,1.5,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,0.94,1.45,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,0.79,0.75,-,-,-,-,-,-,-,-,-,-,-
KOTA KOTAMOBAGU,-0.12,1.13,-,-,-,-,-,-,-,-,-,-,-
LUWUK,0.07,0.92,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-0.13,0.57,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-0.85,1.59,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.24,0.66,-,-,-,-,-,-,-,-,-,-,-
BULUKUMBA,0.29,0.63,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,0.91,0.48,-,-,-,-,-,-,-,-,-,-,-
KAB WAJO,0.34,1.08,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,1.39,0.96,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,0.34,0.63,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.37,1.23,-,-,-,-,-,-,-,-,-,-,-
KOTA PARE-PARE,0.47,0.65,-,-,-,-,-,-,-,-,-,-,-
KOTA PALOPO,0.37,0.49,-,-,-,-,-,-,-,-,-,-,-
KAB KONAWE,-0.06,0.28,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,1.82,1.05,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.44,0.38,-,-,-,-,-,-,-,-,-,-,-
KOTA BAU-BAU,0.9,1.44,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,0.68,0.91,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,-0.19,0.73,-,-,-,-,-,-,-,-,-,-,-
KAB MAJENE,0.15,0.43,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,1.58,0.07,-,-,-,-,-,-,-,-,-,-,-
KAB MALUKU TENGAH,1.44,1.21,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,0.15,0.3,-,-,-,-,-,-,-,-,-,-,-
KOTA TUAL,2.35,-0.72,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,0.27,0.52,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,1.74,0.9,-,-,-,-,-,-,-,-,-,-,-
MANOKWARI,0.02,-0.65,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG,-0.12,0.05,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,0.2,-0.11,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.29,-0.81,-,-,-,-,-,-,-,-,-,-,-
KOTA JAYAPURA,-0.36,0.06,-,-,-,-,-,-,-,-,-,-,-
MERAUKE,1.06,0.59,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,0.28,0.32,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-1.4,-0.71,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-0.05,0.49,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,-0.15,0.68,-,-,-,-,-,-,-,-,-,-,-
